gene	drug	regulatory approval	indication	interaction score
MAPT	GUTHION	Not Approved	""	0.009922084511658068
MAPT	HOMIDIUM	Not Approved	""	0.0148831267674871
MAPT	ARACHIDONIC ACID	Not Approved	""	0.009158847241530526
MAPT	CHEMBL:CHEMBL586078	Not Approved	""	0.05953250706994841
MAPT	CHEMBL:CHEMBL313737	Not Approved	""	0.01190650141398968
MAPT	EPINEPHRINE BITARTRATE	Approved	""	0.007003824361170402
MAPT	CALCIMYCIN	Not Approved	""	0.006266579691573517
MAPT	BISSALICYL FUMARATE	Not Approved	""	0.05953250706994841
MAPT	CHEMBL:CHEMBL339587	Not Approved	""	0.0148831267674871
MAPT	BITHIONOLATE SODIUM	Approved	""	0.0148831267674871
MAPT	RALOXIFENE HYDROCHLORIDE	Approved	Hormone Replacement Agents	0.002381300282797936
MAPT	BERBERINE CHLORIDE	Not Approved	""	0.0148831267674871
MAPT	BENSERAZIDE HYDROCHLORIDE	Not Approved	""	0.007441563383743551
MAPT	NIFUROXAZIDE	Not Approved	""	0.01984416902331613
MAPT	SEMAXANIB	Not Approved	""	0.007003824361170402
MAPT	CHEMBL:CHEMBL2094422	Not Approved	""	0.05953250706994841
MAPT	CHEMBL:CHEMBL242171	Not Approved	""	0.01190650141398968
MAPT	CHEMBL:CHEMBL581044	Not Approved	""	0.01322944601554409
MAPT	CHEMBL:CHEMBL578257	Not Approved	""	0.0148831267674871
MAPT	CHEMBL:CHEMBL586000	Not Approved	""	0.02381300282797936
MAPT	CHEMBL:CHEMBL429095	Not Approved	""	0.002381300282797936
MAPT	ARISTOLOCHIC ACID	Not Approved	""	0.02381300282797936
MAPT	CHEMBL:CHEMBL196814	Not Approved	""	0.1190650141398968
MAPT	CHLORANIL	Not Approved	""	0.007937667609326455
MAPT	SEMORINEMAB	Not Approved	""	0.1190650141398968
MAPT	CYSTAMINE DIHYDROCHLORIDE	Not Approved	""	0.0297662535349742
MAPT	CHEMBL:CHEMBL533965	Not Approved	""	0.1190650141398968
MAPT	CHEMBL:CHEMBL59150	Not Approved	""	0.03968833804663227
MAPT	APIGENIN	Approved	""	0.004579423620765263
MAPT	CHEMBL:CHEMBL601605	Not Approved	""	0.03968833804663227
MAPT	DICHLOROPHEN	Not Approved	""	0.006614723007772046
MAPT	CHEMBL:CHEMBL139935	Not Approved	""	0.01082409219453607
MAPT	ISOVELLERAL	Not Approved	""	0.007441563383743551
MAPT	CHEMBL:CHEMBL584442	Not Approved	""	0.0148831267674871
MAPT	NORSTICTIC ACID	Not Approved	""	0.01700928773427097
MAPT	GOSSYPOL	Not Approved	""	0.002480521127914517
MAPT	DAPH	Not Approved	""	0.01190650141398968
MAPT	3,4-DIMETHOXYDALBERGIONE	Not Approved	""	0.03968833804663227
MAPT	CHEMBL:CHEMBL2181046	Not Approved	""	0.2381300282797936
MAPT	CHEMBL:CHEMBL585654	Not Approved	""	0.02381300282797936
MAPT	CHEMBL:CHEMBL99408	Not Approved	""	0.05953250706994841
MAPT	CHEMBL:CHEMBL1390716	Not Approved	""	0.01984416902331613
MAPT	RESERPINE	Approved	Antihypertensive Agents; Antipsychotic Agents	0.004579423620765263
MAPT	9,10-PHENANTHRENEQUINONE	Not Approved	""	0.004579423620765263
MAPT	&ALPHA;-ERGOCRYPTINE	Not Approved	""	0.01190650141398968
MAPT	CHEMBL:CHEMBL584458	Not Approved	""	0.008504643867135486
MAPT	OXYPHENBUTAZONE	Approved	""	0.009158847241530526
MAPT	SR2640	Not Approved	""	0.01082409219453607
MAPT	SHIKONIN	Not Approved	""	0.01190650141398968
MAPT	2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE	Not Approved	""	0.03968833804663227
MAPT	CHEMBL:CHEMBL458094	Not Approved	""	0.0297662535349742
MAPT	CHEMBL:CHEMBL1466186	Not Approved	""	0.0148831267674871
MAPT	DEPHOSTATIN	Not Approved	""	0.004762600565595873
MAPT	PIPLARTINE	Not Approved	""	0.01322944601554409
MAPT	FISETIN	Not Approved	""	0.009158847241530526
MAPT	VU0001171	Not Approved	""	0.02381300282797936
MAPT	HELENALIN	Not Approved	""	0.007441563383743551
MAPT	PTEROSTILBENE	Not Approved	""	0.0297662535349742
MAPT	NICLOSAMIDE	Approved	""	0.004409815338514697
MAPT	CHEMBL:CHEMBL580071	Not Approved	""	0.1190650141398968
MAPT	RACEPINEPHRINE	Approved	""	0.01700928773427097
MAPT	CHEMBL:CHEMBL1503190	Not Approved	""	0.0297662535349742
MAPT	CHEMBL:CHEMBL1320453	Not Approved	""	0.01700928773427097
MAPT	EPINEPHRINE	Approved	anestethic	0.00297662535349742
MAPT	CHEMBL:CHEMBL312487	Not Approved	""	0.05953250706994841
MAPT	EMODIN	Not Approved	""	0.004579423620765263
MAPT	GETIACAULEIN	Not Approved	""	0.1190650141398968
MAPT	PROPYLENE GLYCOL MONOSTEARATE	Approved	""	0.05953250706994841
MAPT	CARNOSIC ACID	Not Approved	""	0.02381300282797936
MAPT	NSC-663284	Not Approved	""	0.01700928773427097
MAPT	CHEMBL:CHEMBL600694	Not Approved	""	0.01700928773427097
MAPT	TRICETIN	Approved	""	0.0148831267674871
MAPT	CHEMBL:CHEMBL586061	Not Approved	""	0.05953250706994841
MAPT	CHEMBL:CHEMBL2095095	Not Approved	""	0.006614723007772046
MAPT	BAICALEIN	Not Approved	""	0.004579423620765263
MAPT	PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT	Not Approved	""	0.01984416902331613
MAPT	CHEMBL:CHEMBL1224755	Not Approved	""	0.01082409219453607
MAPT	DEHYDROVARIABILIN	Not Approved	""	0.03968833804663227
