;Gene;Drug;Regulatory Approval;Indication;Interaction Score
1;ABL1;HYDROXYUREA;Approved;Antineoplastic Agents;0.036
2;ABL1;PONATINIB;Approved;antineoplastic agent;0.8008
3;ABL1;IMATINIB;Approved;antineoplastic agent;0.1108
4;ABL1;NILOTINIB;Approved;antineoplastic agent;0.6375
5;ABL1;DASATINIB ANHYDROUS;Approved;antineoplastic agent;0.1766
6;ABL1;REGORAFENIB;Approved;antineoplastic agent;0.0229
7;ABL1;TRAMETINIB DIMETHYL SULFOXIDE;Approved;antineoplastic agent;0.0076
8;ABL1;BOSUTINIB;Approved;antineoplastic agent;0.6241
9;ABL1;VINCRISTINE;Approved;antineoplastic agent;0.0093
10;ABL1;BLINATUMOMAB;Approved;antineoplastic agent;0.0756
11;ABL1;PAZOPANIB;Approved;antineoplastic agent;0.0065
12;ABL1;AZACITIDINE;Approved;antineoplastic agent;0.0189
13;ABL1;AXITINIB;Approved;antineoplastic agent;0.0515
14;ABL1;VANDETANIB;Approved;antineoplastic agent;0.013
15;ABL1;INOTUZUMAB OZOGAMICIN;Approved;antineoplastic agent;0.1889
16;ABL1;SORAFENIB;Approved;antineoplastic agent;0.0033
17;ABL1;CRIZOTINIB;Approved;antineoplastic agent;0.0145
18;ABL1;ERLOTINIB;Approved;antineoplastic agent;0.0064
19;ABL1;CABOZANTINIB S-MALATE;Approved;antineoplastic agent;0.0172
20;ABL1;OMACETAXINE MEPESUCCINATE;Approved;antineoplastic agent;0.1511
21;ABL1;MASITINIB;Approved;antineoplastic agent,DMARD,antiinflammatory agent;0.0222
22;ACTL6A;PANOBINOSTAT;Approved;antineoplastic agent;0.3978
23;AKT1;NINTEDANIB ESYLATE;Approved;antineoplastic agent;0.0592
24;AKT1;TOPOTECAN HYDROCHLORIDE;Approved;antineoplastic agent;0.0592
25;AKT1;DABRAFENIB;Approved;antineoplastic agent;0.0274
26;AKT1;VEMURAFENIB;Approved;antineoplastic agent;0.0205
27;AKT1;RESVERATROL;Approved;antineoplastic agent,antidiabetic,for treatment of herpes simplex virus 1;0.0302
28;APAF1;DOXORUBICIN HYDROCHLORIDE;Approved;antineoplastic agent;0.0031
